C:\Users\James Camacho\Documents\College\Freshman\Pokerbots-2023\python_skeleton\stats\kelly.py:11: RuntimeWarning: invalid value encountered in log
  return (1-q)*np.log(d-x)+q*np.log(d+n+x)-np.log(d)
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=5
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=5
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=5
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=6
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=5
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=5
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=6
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=5
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=6
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=5
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=6
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=6
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=4
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=2
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=3
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=2, max_cost=398, bet=0
min_cost=3, max_cost=399, bet=1
min_cost=2, max_cost=398, bet=1
min_cost=2, max_cost=398, bet=2
min_cost=3, max_cost=399, bet=3
min_cost=3, max_cost=399, bet=4
min_cost=3, max_cost=399, bet=3
